,Any,Codi_Barri,Codi_Districte,Domicilis,Nom_Barri,Nom_Districte,Ocupacio_ mitjana_(persones_per_domicili),Ocupacio_mitjana_(persones_ per_domicili),Poblacio
48,2016,49,8,2801,Canyelles,Nou Barris,,2.47,6925
49,2016,50,8,5831,les Roquetes,Nou Barris,,2.65,15428
50,2016,51,8,5022,Verdun,Nou Barris,,2.44,12261
51,2016,52,8,10692,la Prosperitat,Nou Barris,,2.45,26166
52,2016,53,8,2876,la Trinitat Nova,Nou Barris,,2.52,7259
53,2016,54,8,931,Torre Baró,Nou Barris,,3.0,2795
2,2016,3,1,6850,la Barceloneta,Ciutat Vella,,2.2,15068
0,2016,1,1,16851,el Raval,Ciutat Vella,,2.81,47274
1,2017,2,1,6537,el Barri Gòtic,Ciutat Vella,,2.48,16240
72,2017,73,10,11452,la Verneda i la Pau,Sant Martí,,2.51,28725
20,2017,21,4,4234,Pedralbes,Les Corts,,2.86,12117
21,2017,22,5,1581,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.97,4689
22,2017,23,5,8904,Sarrià,Sarrià-Sant Gervasi,,2.82,25106
23,2017,24,5,5593,les Tres Torres,Sarrià-Sant Gervasi,,2.98,16660
24,2017,25,5,9350,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.77,25909
25,2017,26,5,18683,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.56,47753
19,2017,20,4,9733,la Maternitat i Sant Ramon,Les Corts,,2.46,23980
26,2017,27,5,12233,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.42,29617
28,2017,29,6,3093,el Coll,Gràcia,,2.4,7428
29,2017,30,6,5391,la Salut,Gràcia,,2.45,13207
30,2017,31,6,22743,la Vila de Gràcia,Gràcia,,2.24,50885
31,2017,32,6,14931,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.31,34431
32,2017,33,7,10829,el Baix Guinardó,Horta-Guinardó,,2.38,25734
33,2017,34,7,3804,Can Baró,Horta-Guinardó,,2.37,9020
27,2017,28,6,6463,Vallcarca i els Penitents,Gràcia,,2.42,15615
34,2017,35,7,15340,el Guinardó,Horta-Guinardó,,2.38,36538
18,2017,19,4,19037,les Corts,Les Corts,,2.42,46104
16,2017,17,3,9929,Sants - Badal,Sants-Montjuïc,,2.42,24047
2,2017,3,1,6911,la Barceloneta,Ciutat Vella,,2.19,15101
3,2017,4,1,10154,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.26,22923
4,2017,5,2,12838,el Fort Pienc,Eixample,,2.5,32048
5,2017,6,2,21920,la Sagrada Família,Eixample,,2.36,51651
6,2017,7,2,18520,la Dreta de l'Eixample,Eixample,,2.39,44246
7,2017,8,2,18223,l'Antiga Esquerra de l'Eixample,Eixample,,2.33,42512
17,2017,18,3,17185,Sants,Sants-Montjuïc,,2.4,41244
8,2017,9,2,24643,la Nova Esquerra de l'Eixample,Eixample,,2.37,58315
10,2017,11,3,16017,el Poble Sec,Sants-Montjuïc,,2.52,40358
11,2017,12,3,447,la Marina del Prat Vermell,Sants-Montjuïc,,2.57,1151
12,2017,13,3,11863,la Marina de Port,Sants-Montjuïc,,2.58,30622
13,2017,14,3,4286,la Font de la Guatlla,Sants-Montjuïc,,2.43,10422
14,2017,15,3,6624,Hostafrancs,Sants-Montjuïc,,2.41,15949
15,2017,16,3,7536,la Bordeta,Sants-Montjuïc,,2.46,18561
9,2017,10,2,16414,Sant Antoni,Eixample,,2.34,38412
36,2017,37,7,12740,el Carmel,Horta-Guinardó,,2.48,31583
37,2017,38,7,4773,la Teixonera,Horta-Guinardó,,2.44,11634
38,2017,39,7,2863,Sant Genís dels Agudells,Horta-Guinardó,,2.43,6971
58,2017,59,9,4469,el Bon Pastor,Sant Andreu,,2.82,12582
59,2017,60,9,23550,Sant Andreu,Sant Andreu,,2.43,57223
60,2017,61,9,11776,la Sagrera,Sant Andreu,,2.47,29031
61,2017,62,9,5916,el Congrés i els Indians,Sant Andreu,,2.39,14141
62,2017,63,9,9002,Navas,Sant Andreu,,2.46,22171
63,2017,64,10,16318,el Camp de l'Arpa del Clot,Sant Martí,,2.35,38371
57,2017,58,9,970,Baró de Viver,Sant Andreu,,2.62,2539
64,2017,65,10,10774,el Clot,Sant Martí,,2.51,27089
66,2017,67,10,3520,la Vila Olímpica del Poblenou,Sant Martí,,2.67,9404
67,2017,68,10,13647,el Poblenou,Sant Martí,,2.49,33931
68,2017,69,10,5487,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.5,13710
69,2017,70,10,8291,el Besòs i el Maresme,Sant Martí,,2.76,22893
70,2017,71,10,8146,Provençals del Poblenou,Sant Martí,,2.53,20649
71,2017,72,10,10598,Sant Martí de Provençals,Sant Martí,,2.47,26187
65,2017,66,10,6162,el Parc i la Llacuna del Poblenou,Sant Martí,,2.47,15204
56,2017,57,9,3491,la Trinitat Vella,Sant Andreu,,2.87,10006
55,2017,56,8,477,Vallbona,Nou Barris,,2.89,1379
54,2017,55,8,3608,Ciutat Meridiana,Nou Barris,,2.87,10369
39,2017,40,7,2140,Montbau,Horta-Guinardó,,2.42,5171
40,2017,41,7,2352,la Vall d'Hebron,Horta-Guinardó,,2.46,5792
41,2017,42,7,264,la Clota,Horta-Guinardó,,2.31,611
42,2017,43,7,10589,Horta,Horta-Guinardó,,2.53,26743
43,2017,44,8,10482,Vilapicina i la Torre Llobeta,Nou Barris,,2.44,25618
44,2017,45,8,10163,Porta,Nou Barris,,2.46,25046
45,2017,46,8,6183,el Turó de la Peira,Nou Barris,,2.51,15506
46,2017,47,8,921,Can Peguera,Nou Barris,,2.42,2233
47,2017,48,8,6193,la Guineueta,Nou Barris,,2.46,15247
48,2017,49,8,2799,Canyelles,Nou Barris,,2.45,6863
49,2017,50,8,5904,les Roquetes,Nou Barris,,2.65,15648
50,2017,51,8,5078,Verdun,Nou Barris,,2.44,12368
51,2017,52,8,10700,la Prosperitat,Nou Barris,,2.47,26398
52,2017,53,8,2863,la Trinitat Nova,Nou Barris,,2.54,7271
53,2017,54,8,941,Torre Baró,Nou Barris,,3.04,2859
0,2017,1,1,17090,el Raval,Ciutat Vella,,2.81,47986
35,2017,36,7,3694,la Font d'en Fargues,Horta-Guinardó,,2.54,9390
0,2018,1,1,17212,el Raval,Ciutat Vella,,2.77,47605
1,2018,2,1,6565,el Barri Gòtic,Ciutat Vella,,2.59,17035
21,2018,22,5,1605,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.93,4710
22,2018,23,5,8928,Sarrià,Sarrià-Sant Gervasi,,2.81,25116
23,2018,24,5,5601,les Tres Torres,Sarrià-Sant Gervasi,,2.98,16678
24,2018,25,5,9381,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.76,25889
25,2018,26,5,18757,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.55,47753
26,2018,27,5,12295,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.41,29691
20,2018,21,4,4234,Pedralbes,Les Corts,,2.85,12046
27,2018,28,6,6521,Vallcarca i els Penitents,Gràcia,,2.42,15789
29,2018,30,6,5424,la Salut,Gràcia,,2.44,13260
30,2018,31,6,22767,la Vila de Gràcia,Gràcia,,2.21,50421
31,2018,32,6,14951,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.32,34663
32,2018,33,7,10849,el Baix Guinardó,Horta-Guinardó,,2.38,25793
33,2018,34,7,3832,Can Baró,Horta-Guinardó,,2.37,9071
34,2018,35,7,15428,el Guinardó,Horta-Guinardó,,2.39,36890
28,2018,29,6,3129,el Coll,Gràcia,,2.38,7460
35,2018,36,7,3710,la Font d'en Fargues,Horta-Guinardó,,2.55,9446
19,2018,20,4,9738,la Maternitat i Sant Ramon,Les Corts,,2.46,23984
17,2018,18,3,17125,Sants,Sants-Montjuïc,,2.42,41370
3,2018,4,1,10238,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.21,22605
4,2018,5,2,12831,el Fort Pienc,Eixample,,2.5,32080
5,2018,6,2,21981,la Sagrada Família,Eixample,,2.35,51654
6,2018,7,2,18519,la Dreta de l'Eixample,Eixample,,2.37,43880
7,2018,8,2,18268,l'Antiga Esquerra de l'Eixample,Eixample,,2.33,42611
8,2018,9,2,24719,la Nova Esquerra de l'Eixample,Eixample,,2.36,58238
18,2018,19,4,19088,les Corts,Les Corts,,2.42,46152
9,2018,10,2,16394,Sant Antoni,Eixample,,2.34,38291
11,2018,12,3,462,la Marina del Prat Vermell,Sants-Montjuïc,,2.51,1161
12,2018,13,3,11919,la Marina de Port,Sants-Montjuïc,,2.58,30751
13,2018,14,3,4277,la Font de la Guatlla,Sants-Montjuïc,,2.41,10307
14,2018,15,3,6666,Hostafrancs,Sants-Montjuïc,,2.4,15969
15,2018,16,3,7664,la Bordeta,Sants-Montjuïc,,2.46,18833
16,2018,17,3,9945,Sants - Badal,Sants-Montjuïc,,2.42,24018
10,2018,11,3,15942,el Poble Sec,Sants-Montjuïc,,2.49,39775
36,2018,37,7,12867,el Carmel,Horta-Guinardó,,2.47,31832
37,2018,38,7,4818,la Teixonera,Horta-Guinardó,,2.42,11650
38,2018,39,7,2930,Sant Genís dels Agudells,Horta-Guinardó,,2.44,7149
58,2018,59,9,4487,el Bon Pastor,Sant Andreu,,2.84,12740
59,2018,60,9,23734,Sant Andreu,Sant Andreu,,2.43,57662
60,2018,61,9,11851,la Sagrera,Sant Andreu,,2.46,29197
61,2018,62,9,5907,el Congrés i els Indians,Sant Andreu,,2.4,14196
62,2018,63,9,9047,Navas,Sant Andreu,,2.45,22159
63,2018,64,10,16351,el Camp de l'Arpa del Clot,Sant Martí,,2.35,38440
57,2018,58,9,977,Baró de Viver,Sant Andreu,,2.59,2535
64,2018,65,10,10794,el Clot,Sant Martí,,2.51,27050
66,2018,67,10,3516,la Vila Olímpica del Poblenou,Sant Martí,,2.65,9312
67,2018,68,10,13730,el Poblenou,Sant Martí,,2.48,33985
68,2018,69,10,5456,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.51,13681
69,2018,70,10,8304,el Besòs i el Maresme,Sant Martí,,2.84,23546
70,2018,71,10,8206,Provençals del Poblenou,Sant Martí,,2.53,20766
71,2018,72,10,10627,Sant Martí de Provençals,Sant Martí,,2.46,26092
65,2018,66,10,6262,el Parc i la Llacuna del Poblenou,Sant Martí,,2.46,15426
56,2018,57,9,3505,la Trinitat Vella,Sant Andreu,,2.87,10071
55,2018,56,8,489,Vallbona,Nou Barris,,2.86,1400
54,2018,55,8,3669,Ciutat Meridiana,Nou Barris,,2.9,10622
39,2018,40,7,2139,Montbau,Horta-Guinardó,,2.41,5157
40,2018,41,7,2351,la Vall d'Hebron,Horta-Guinardó,,2.44,5737
41,2018,42,7,272,la Clota,Horta-Guinardó,,2.42,657
42,2018,43,7,10610,Horta,Horta-Guinardó,,2.53,26867
43,2018,44,8,10525,Vilapicina i la Torre Llobeta,Nou Barris,,2.44,25675
44,2018,45,8,10215,Porta,Nou Barris,,2.5,25568
45,2018,46,8,6213,el Turó de la Peira,Nou Barris,,2.51,15616
46,2018,47,8,925,Can Peguera,Nou Barris,,2.41,2229
47,2018,48,8,6220,la Guineueta,Nou Barris,,2.46,15293
48,2018,49,8,2808,Canyelles,Nou Barris,,2.45,6885
49,2018,50,8,5925,les Roquetes,Nou Barris,,2.66,15784
50,2018,51,8,5107,Verdun,Nou Barris,,2.44,12445
51,2018,52,8,10751,la Prosperitat,Nou Barris,,2.47,26552
52,2018,53,8,2913,la Trinitat Nova,Nou Barris,,2.53,7365
53,2018,54,8,964,Torre Baró,Nou Barris,,3.0,2893
2,2018,3,1,6917,la Barceloneta,Ciutat Vella,,2.15,14893
72,2018,73,10,11469,la Verneda i la Pau,Sant Martí,,2.51,28814
71,2019,72,10,10671,Sant Martí de Provençals,Sant Martí,,2.56,26168
1,2019,2,1,6616,el Barri Gòtic,Ciutat Vella,,2.79,19180
52,2019,53,8,2924,la Trinitat Nova,Nou Barris,,2.49,7620
51,2019,52,8,10770,la Prosperitat,Nou Barris,,2.47,26834
50,2019,51,8,5094,Verdun,Nou Barris,,2.71,12578
49,2019,50,8,5991,les Roquetes,Nou Barris,,2.45,16250
48,2019,49,8,2810,Canyelles,Nou Barris,,2.48,6884
47,2019,48,8,6210,la Guineueta,Nou Barris,,2.4,15398
53,2019,54,8,976,Torre Baró,Nou Barris,,2.61,2931
46,2019,47,8,935,Can Peguera,Nou Barris,,2.54,2247
44,2019,45,8,10258,Porta,Nou Barris,,2.46,26557
43,2019,44,8,10520,Vilapicina i la Torre Llobeta,Nou Barris,,2.58,25895
42,2019,43,7,10658,Horta,Horta-Guinardó,,2.45,27482
41,2019,42,7,280,la Clota,Horta-Guinardó,,2.45,686
40,2019,41,7,2369,la Vall d'Hebron,Horta-Guinardó,,2.41,5803
39,2019,40,7,2147,Montbau,Horta-Guinardó,,2.51,5185
45,2019,46,8,6242,el Turó de la Peira,Nou Barris,,2.59,15825
38,2019,39,7,2948,Sant Genís dels Agudells,Horta-Guinardó,,2.43,7394
54,2019,55,8,3712,Ciutat Meridiana,Nou Barris,,3.0,10864
56,2019,57,9,3544,la Trinitat Vella,Sant Andreu,,2.9,10337
70,2019,71,10,8312,Provençals del Poblenou,Sant Martí,,2.95,21303
69,2019,70,10,8347,el Besòs i el Maresme,Sant Martí,,2.51,24660
68,2019,69,10,5420,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.49,13625
67,2019,68,10,13700,el Poblenou,Sant Martí,,2.65,34170
66,2019,67,10,3525,la Vila Olímpica del Poblenou,Sant Martí,,2.46,9348
65,2019,66,10,6383,el Parc i la Llacuna del Poblenou,Sant Martí,,2.51,15713
55,2019,56,8,486,Vallbona,Nou Barris,,2.93,1407
64,2019,65,10,10807,el Clot,Sant Martí,,2.38,27172
62,2019,63,9,9063,Navas,Sant Andreu,,2.45,22279
61,2019,62,9,5947,el Congrés i els Indians,Sant Andreu,,2.47,14557
60,2019,61,9,11892,la Sagrera,Sant Andreu,,2.43,29400
59,2019,60,9,23827,Sant Andreu,Sant Andreu,,2.92,57961
58,2019,59,9,4490,el Bon Pastor,Sant Andreu,,2.63,13126
57,2019,58,9,992,Baró de Viver,Sant Andreu,,2.92,2604
63,2019,64,10,16419,el Camp de l'Arpa del Clot,Sant Martí,,2.46,39034
37,2019,38,7,4851,la Teixonera,Horta-Guinardó,,2.5,11789
36,2019,37,7,12879,el Carmel,Horta-Guinardó,,2.54,32175
35,2019,36,7,3746,la Font d'en Fargues,Horta-Guinardó,,2.41,9506
15,2019,16,3,7850,la Bordeta,Sants-Montjuïc,,2.42,19443
14,2019,15,3,6679,Hostafrancs,Sants-Montjuïc,,2.42,16155
13,2019,14,3,4279,la Font de la Guatlla,Sants-Montjuïc,,2.59,10373
12,2019,13,3,11997,la Marina de Port,Sants-Montjuïc,,2.6,31087
11,2019,12,3,462,la Marina del Prat Vermell,Sants-Montjuïc,,2.53,1199
10,2019,11,3,15985,el Poble Sec,Sants-Montjuïc,,2.37,40409
16,2019,17,3,10031,Sants - Badal,Sants-Montjuïc,,2.48,24474
9,2019,10,2,16297,Sant Antoni,Eixample,,2.36,38566
7,2019,8,2,18257,l'Antiga Esquerra de l'Eixample,Eixample,,2.38,43112
6,2019,7,2,18579,la Dreta de l'Eixample,Eixample,,2.36,44215
5,2019,6,2,21980,la Sagrada Família,Eixample,,2.55,51911
4,2019,5,2,12825,el Fort Pienc,Eixample,,2.26,32649
3,2019,4,1,10269,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.18,23170
2,2019,3,1,6962,la Barceloneta,Ciutat Vella,,2.9,15173
8,2019,9,2,24801,la Nova Esquerra de l'Eixample,Eixample,,2.36,58642
17,2019,18,3,17143,Sants,Sants-Montjuïc,,2.44,42310
18,2019,19,4,19209,les Corts,Les Corts,,2.47,46599
19,2019,20,4,9718,la Maternitat i Sant Ramon,Les Corts,,2.43,23992
34,2019,35,7,15466,el Guinardó,Horta-Guinardó,,2.38,37216
33,2019,34,7,3886,Can Baró,Horta-Guinardó,,2.4,9247
32,2019,33,7,10846,el Baix Guinardó,Horta-Guinardó,,2.35,25990
31,2019,32,6,14953,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.22,35199
30,2019,31,6,22845,la Vila de Gràcia,Gràcia,,2.46,50803
29,2019,30,6,5453,la Salut,Gràcia,,2.4,13431
28,2019,29,6,3130,el Coll,Gràcia,,2.43,7518
27,2019,28,6,6555,Vallcarca i els Penitents,Gràcia,,2.43,15902
26,2019,27,5,12315,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.56,29875
25,2019,26,5,18749,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.76,47928
24,2019,25,5,9460,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.98,26108
23,2019,24,5,5602,les Tres Torres,Sarrià-Sant Gervasi,,2.83,16671
22,2019,23,5,8876,Sarrià,Sarrià-Sant Gervasi,,2.92,25137
21,2019,22,5,1619,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.85,4727
20,2019,21,4,4206,Pedralbes,Les Corts,,2.47,12000
0,2019,1,1,17287,el Raval,Ciutat Vella,,2.49,48297
72,2019,73,10,11455,la Verneda i la Pau,Sant Martí,,2.45,28883
36,2020,37,7,12947,el Carmel,Horta-Guinardó,,2.51,32512
1,2020,2,1,6617,el Barri Gòtic,Ciutat Vella,,3.28,21715
21,2020,22,5,1613,"Vallvidrera, el Tibidabo i les Planes",Sarrià-Sant Gervasi,,2.92,4710
22,2020,23,5,8872,Sarrià,Sarrià-Sant Gervasi,,2.85,25242
23,2020,24,5,5602,les Tres Torres,Sarrià-Sant Gervasi,,2.97,16617
24,2020,25,5,9488,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,,2.77,26245
25,2020,26,5,18823,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,,2.55,47915
26,2020,27,5,12415,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.45,30428
20,2020,21,4,4204,Pedralbes,Les Corts,,2.84,11936
27,2020,28,6,6604,Vallcarca i els Penitents,Gràcia,,2.45,16147
29,2020,30,6,5478,la Salut,Gràcia,,2.46,13478
30,2020,31,6,22875,la Vila de Gràcia,Gràcia,,2.23,50926
31,2020,32,6,15019,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.36,35483
32,2020,33,7,10889,el Baix Guinardó,Horta-Guinardó,,2.4,26180
33,2020,34,7,3899,Can Baró,Horta-Guinardó,,2.39,9331
34,2020,35,7,15572,el Guinardó,Horta-Guinardó,,2.41,37584
28,2020,29,6,3163,el Coll,Gràcia,,2.41,7617
35,2020,36,7,3775,la Font d'en Fargues,Horta-Guinardó,,2.53,9544
19,2020,20,4,9705,la Maternitat i Sant Ramon,Les Corts,,2.47,23968
17,2020,18,3,17219,Sants,Sants-Montjuïc,,2.54,43763
3,2020,4,1,10208,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.28,23241
4,2020,5,2,12839,el Fort Pienc,Eixample,,2.6,33369
5,2020,6,2,21968,la Sagrada Família,Eixample,,2.38,52245
6,2020,7,2,18516,la Dreta de l'Eixample,Eixample,,2.39,44325
7,2020,8,2,18183,l'Antiga Esquerra de l'Eixample,Eixample,,2.38,43228
8,2020,9,2,24719,la Nova Esquerra de l'Eixample,Eixample,,2.37,58621
18,2020,19,4,19152,les Corts,Les Corts,,2.44,46731
9,2020,10,2,16301,Sant Antoni,Eixample,,2.39,38906
11,2020,12,3,492,la Marina del Prat Vermell,Sants-Montjuïc,,2.49,1227
12,2020,13,3,12035,la Marina de Port,Sants-Montjuïc,,2.61,31352
13,2020,14,3,4269,la Font de la Guatlla,Sants-Montjuïc,,2.43,10377
14,2020,15,3,6696,Hostafrancs,Sants-Montjuïc,,2.42,16203
15,2020,16,3,7883,la Bordeta,Sants-Montjuïc,,2.48,19567
16,2020,17,3,10067,Sants - Badal,Sants-Montjuïc,,2.48,24938
10,2020,11,3,15961,el Poble Sec,Sants-Montjuïc,,2.52,40157
37,2020,38,7,4886,la Teixonera,Horta-Guinardó,,2.44,11927
38,2020,39,7,2993,Sant Genís dels Agudells,Horta-Guinardó,,2.52,7538
39,2020,40,7,2140,Montbau,Horta-Guinardó,,2.44,5225
59,2020,60,9,23984,Sant Andreu,Sant Andreu,,2.44,58508
60,2020,61,9,11878,la Sagrera,Sant Andreu,,2.49,29521
61,2020,62,9,5990,el Congrés i els Indians,Sant Andreu,,2.46,14726
62,2020,63,9,9088,Navas,Sant Andreu,,2.47,22457
63,2020,64,10,16520,el Camp de l'Arpa del Clot,Sant Martí,,2.38,39262
64,2020,65,10,10786,el Clot,Sant Martí,,2.51,27069
58,2020,59,9,4498,el Bon Pastor,Sant Andreu,,3.04,13652
65,2020,66,10,6449,el Parc i la Llacuna del Poblenou,Sant Martí,,2.47,15947
67,2020,68,10,13760,el Poblenou,Sant Martí,,2.5,34432
68,2020,69,10,5368,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.52,13526
69,2020,70,10,8365,el Besòs i el Maresme,Sant Martí,,3.05,25501
70,2020,71,10,8419,Provençals del Poblenou,Sant Martí,,2.56,21523
71,2020,72,10,10629,Sant Martí de Provençals,Sant Martí,,2.46,26168
72,2020,73,10,11484,la Verneda i la Pau,Sant Martí,,2.51,28878
66,2020,67,10,3545,la Vila Olímpica del Poblenou,Sant Martí,,2.65,9385
57,2020,58,9,995,Baró de Viver,Sant Andreu,,2.64,2625
56,2020,57,9,3565,la Trinitat Vella,Sant Andreu,,2.94,10487
55,2020,56,8,488,Vallbona,Nou Barris,,2.91,1421
40,2020,41,7,2372,la Vall d'Hebron,Horta-Guinardó,,2.48,5886
41,2020,42,7,284,la Clota,Horta-Guinardó,,2.5,709
42,2020,43,7,10720,Horta,Horta-Guinardó,,2.65,28363
43,2020,44,8,10554,Vilapicina i la Torre Llobeta,Nou Barris,,2.47,26083
44,2020,45,8,10293,Porta,Nou Barris,,2.7,27813
45,2020,46,8,6355,el Turó de la Peira,Nou Barris,,2.56,16269
46,2020,47,8,930,Can Peguera,Nou Barris,,2.4,2234
47,2020,48,8,6233,la Guineueta,Nou Barris,,2.47,15420
48,2020,49,8,2805,Canyelles,Nou Barris,,2.45,6869
49,2020,50,8,6026,les Roquetes,Nou Barris,,2.72,16417
50,2020,51,8,5141,Verdun,Nou Barris,,2.49,12798
51,2020,52,8,10830,la Prosperitat,Nou Barris,,2.49,27003
52,2020,53,8,2941,la Trinitat Nova,Nou Barris,,2.61,7669
53,2020,54,8,972,Torre Baró,Nou Barris,,3.01,2925
54,2020,55,8,3744,Ciutat Meridiana,Nou Barris,,2.96,11091
2,2020,3,1,6994,la Barceloneta,Ciutat Vella,,2.16,15112
0,2020,1,1,17384,el Raval,Ciutat Vella,,2.78,48263
70,2021,71,10,8315,Provençals del Poblenou,Sant Martí,,2.55,21185
0,2021,1,1,17298,el Raval,Ciutat Vella,,2.81,48688
51,2021,52,8,10736,la Prosperitat,Nou Barris,,2.5,26868
50,2021,51,8,5143,Verdun,Nou Barris,,2.5,12865
49,2021,50,8,6029,les Roquetes,Nou Barris,,2.75,16563
48,2021,49,8,2797,Canyelles,Nou Barris,,2.44,6813
47,2021,48,8,6156,la Guineueta,Nou Barris,,2.48,15267
46,2021,47,8,929,Can Peguera,Nou Barris,,2.38,2215
52,2021,53,8,2934,la Trinitat Nova,Nou Barris,,2.6,7628
45,2021,46,8,6282,el Turó de la Peira,Nou Barris,,2.58,16186
43,2021,44,8,10503,Vilapicina i la Torre Llobeta,Nou Barris,,2.46,25875
42,2021,43,7,10625,Horta,Horta-Guinardó,,2.64,28055
41,2021,42,7,281,la Clota,Horta-Guinardó,,2.48,698
40,2021,41,7,2380,la Vall d'Hebron,Horta-Guinardó,,2.49,5932
39,2021,40,7,2088,Montbau,Horta-Guinardó,,2.45,5114
38,2021,39,7,2913,Sant Genís dels Agudells,Horta-Guinardó,,2.54,7385
44,2021,45,8,10190,Porta,Nou Barris,,2.73,27796
37,2021,38,7,4895,la Teixonera,Horta-Guinardó,,2.46,12044
53,2021,54,8,986,Torre Baró,Nou Barris,,2.96,2923
55,2021,56,8,484,Vallbona,Nou Barris,,2.89,1401
69,2021,70,10,8432,el Besòs i el Maresme,Sant Martí,,3.1,26116
68,2021,69,10,5356,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,,2.53,13536
67,2021,68,10,13730,el Poblenou,Sant Martí,,2.51,34411
66,2021,67,10,3529,la Vila Olímpica del Poblenou,Sant Martí,,2.66,9395
65,2021,66,10,6442,el Parc i la Llacuna del Poblenou,Sant Martí,,2.47,15914
64,2021,65,10,10723,el Clot,Sant Martí,,2.5,26759
54,2021,55,8,3728,Ciutat Meridiana,Nou Barris,,2.99,11152
63,2021,64,10,16341,el Camp de l'Arpa del Clot,Sant Martí,,2.38,38838
61,2021,62,9,5910,el Congrés i els Indians,Sant Andreu,,2.46,14549
60,2021,61,9,11906,la Sagrera,Sant Andreu,,2.48,29568
59,2021,60,9,23846,Sant Andreu,Sant Andreu,,2.44,58225
58,2021,59,9,4466,el Bon Pastor,Sant Andreu,,3.07,13730
57,2021,58,9,997,Baró de Viver,Sant Andreu,,2.66,2653
56,2021,57,9,3546,la Trinitat Vella,Sant Andreu,,2.96,10513
62,2021,63,9,9007,Navas,Sant Andreu,,2.48,22299
36,2021,37,7,12930,el Carmel,Horta-Guinardó,,2.53,32724
35,2021,36,7,3754,la Font d'en Fargues,Horta-Guinardó,,2.53,9505
34,2021,35,7,15456,el Guinardó,Horta-Guinardó,,2.41,37325
14,2021,15,3,6681,Hostafrancs,Sants-Montjuïc,,2.41,16102
13,2021,14,3,4231,la Font de la Guatlla,Sants-Montjuïc,,2.42,10239
12,2021,13,3,11957,la Marina de Port,Sants-Montjuïc,,2.6,31092
11,2021,12,3,543,la Marina del Prat Vermell,Sants-Montjuïc,,2.5,1356
10,2021,11,3,15899,el Poble Sec,Sants-Montjuïc,,2.53,40204
9,2021,10,2,16190,Sant Antoni,Eixample,,2.39,38700
15,2021,16,3,7838,la Bordeta,Sants-Montjuïc,,2.48,19451
8,2021,9,2,24493,la Nova Esquerra de l'Eixample,Eixample,,2.36,57906
6,2021,7,2,18426,la Dreta de l'Eixample,Eixample,,2.39,44088
5,2021,6,2,21844,la Sagrada Família,Eixample,,2.39,52164
4,2021,5,2,12782,el Fort Pienc,Eixample,,2.62,33445
3,2021,4,1,10071,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,,2.28,23009
2,2021,3,1,6927,la Barceloneta,Ciutat Vella,,2.18,15125
1,2021,2,1,6571,el Barri Gòtic,Ciutat Vella,,3.48,22850
7,2021,8,2,18044,l'Antiga Esquerra de l'Eixample,Eixample,,2.39,43046
16,2021,17,3,10057,Sants - Badal,Sants-Montjuïc,,2.48,24903
17,2021,18,3,17074,Sants,Sants-Montjuïc,,2.56,43679
18,2021,19,4,18931,les Corts,Les Corts,,2.43,45943
33,2021,34,7,3894,Can Baró,Horta-Guinardó,,2.39,9320
32,2021,33,7,10740,el Baix Guinardó,Horta-Guinardó,,2.41,25842
31,2021,32,6,14849,el Camp d'en Grassot i Gràcia Nova,Gràcia,,2.38,35352
30,2021,31,6,22587,la Vila de Gràcia,Gràcia,,2.23,50456
29,2021,30,6,5444,la Salut,Gràcia,,2.47,13455
28,2021,29,6,3165,el Coll,Gràcia,,2.43,7688
27,2021,28,6,6656,Vallcarca i els Penitents,Gràcia,,2.45,16325
26,2021,27,5,12264,el Putxet i el Farró,Sarrià-Sant Gervasi,,2.45,29986
