,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Població,Índex RFD Barcelona = 100
18,2015,4,Les Corts,19,les Corts,46086,124.5
37,2015,7,Horta-Guinardó,38,la Teixonera,11322,74.5
54,2015,8,Nou Barris,55,Ciutat Meridiana,10156,34.5
38,2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,6693,93.5
58,2015,9,Sant Andreu,59,el Bon Pastor,12655,58.0
59,2015,9,Sant Andreu,60,Sant Andreu,56682,75.6
60,2015,9,Sant Andreu,61,la Sagrera,29020,76.8
61,2015,9,Sant Andreu,62,el Congrés i els Indians,14148,70.1
62,2015,9,Sant Andreu,63,Navas,22110,85.8
63,2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,38202,78.7
64,2015,10,Sant Martí,65,el Clot,27013,84.7
65,2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14764,96.8
66,2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,9261,150.2
67,2015,10,Sant Martí,68,el Poblenou,33579,95.6
68,2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13352,162.5
69,2015,10,Sant Martí,70,el Besòs i el Maresme,23026,54.4
70,2015,10,Sant Martí,71,Provençals del Poblenou,20244,102.8
71,2015,10,Sant Martí,72,Sant Martí de Provençals,26005,68.3
72,2015,10,Sant Martí,73,la Verneda i la Pau,28678,57.5
57,2015,9,Sant Andreu,58,Baró de Viver,2482,60.2
73,2015,99,No consta,99,No consta,1,-
56,2015,9,Sant Andreu,57,la Trinitat Vella,10210,43.1
1,2015,1,Ciutat Vella,2,el Barri Gòtic,15269,108.5
39,2015,7,Horta-Guinardó,40,Montbau,5070,72.3
40,2015,7,Horta-Guinardó,41,la Vall d'Hebron,5613,92.6
41,2015,7,Horta-Guinardó,42,la Clota,568,89.3
42,2015,7,Horta-Guinardó,43,Horta,26624,80.9
43,2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25499,65.0
44,2015,8,Nou Barris,45,Porta,24536,61.4
45,2015,8,Nou Barris,46,el Turó de la Peira,15420,48.8
46,2015,8,Nou Barris,47,Can Peguera,2267,51.1
47,2015,8,Nou Barris,48,la Guineueta,15074,55.9
48,2015,8,Nou Barris,49,Canyelles,6946,55.6
49,2015,8,Nou Barris,50,les Roquetes,15523,47.8
50,2015,8,Nou Barris,51,Verdun,12258,55.4
51,2015,8,Nou Barris,52,la Prosperitat,26184,54.0
52,2015,8,Nou Barris,53,la Trinitat Nova,7362,35.6
53,2015,8,Nou Barris,54,Torre Baró,2828,47.1
55,2015,8,Nou Barris,56,Vallbona,1351,37.8
0,2015,1,Ciutat Vella,1,el Raval,47617,75.8
35,2016,7,Horta-Guinardó,36,la Font d'en Fargues,9402,94.8
71,2016,10,Sant Martí,72,Sant Martí de Provençals,26031,68.7
19,2016,4,Les Corts,20,la Maternitat i Sant Ramon,23868,114.3
20,2016,4,Les Corts,21,Pedralbes,11864,242.4
21,2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4641,130.8
22,2016,5,Sarrià-Sant Gervasi,23,Sarrià,24810,186.6
23,2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,16486,211.0
24,2016,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25761,187.5
18,2016,4,Les Corts,19,les Corts,45976,119.9
25,2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,47156,198.3
27,2016,6,Gràcia,28,Vallcarca i els Penitents,15448,112.9
28,2016,6,Gràcia,29,el Coll,7391,84.4
29,2016,6,Gràcia,30,la Salut,13123,116.4
30,2016,6,Gràcia,31,la Vila de Gràcia,50670,101.5
31,2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34275,108.1
32,2016,7,Horta-Guinardó,33,el Baix Guinardó,25563,92.0
26,2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29318,140.6
16,2016,3,Sants-Montjuïc,17,Sants - Badal,23935,74.5
15,2016,3,Sants-Montjuïc,16,la Bordeta,18518,73.6
14,2016,3,Sants-Montjuïc,15,Hostafrancs,15915,84.6
72,2016,10,Sant Martí,73,la Verneda i la Pau,28673,58.8
0,2016,1,Ciutat Vella,1,el Raval,47274,74.6
1,2016,1,Ciutat Vella,2,el Barri Gòtic,15729,110.5
2,2016,1,Ciutat Vella,3,la Barceloneta,15068,84.8
3,2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22380,97.8
4,2016,2,Eixample,5,el Fort Pienc,31693,105.0
5,2016,2,Eixample,6,la Sagrada Família,51349,95.9
6,2016,2,Eixample,7,la Dreta de l'Eixample,43715,170.0
7,2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41872,139.2
8,2016,2,Eixample,9,la Nova Esquerra de l'Eixample,57676,105.3
9,2016,2,Eixample,10,Sant Antoni,38182,104.0
10,2016,3,Sants-Montjuïc,11,el Poble Sec,40104,76.1
11,2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1146,49.7
12,2016,3,Sants-Montjuïc,13,la Marina de Port,30397,68.3
13,2016,3,Sants-Montjuïc,14,la Font de la Guatlla,10316,84.9
33,2016,7,Horta-Guinardó,34,Can Baró,8969,96.0
34,2016,7,Horta-Guinardó,35,el Guinardó,36176,80.1
17,2016,3,Sants-Montjuïc,18,Sants,40831,92.3
37,2016,7,Horta-Guinardó,38,la Teixonera,11281,75.8
56,2016,9,Sant Andreu,57,la Trinitat Vella,10048,48.9
57,2016,9,Sant Andreu,58,Baró de Viver,2511,72.6
58,2016,9,Sant Andreu,59,el Bon Pastor,12594,62.0
59,2016,9,Sant Andreu,60,Sant Andreu,56695,77.0
60,2016,9,Sant Andreu,61,la Sagrera,28710,77.9
62,2016,9,Sant Andreu,63,Navas,22097,84.3
63,2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,38252,82.7
64,2016,10,Sant Martí,65,el Clot,26928,83.7
65,2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,14861,92.1
66,2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,9346,162.0
67,2016,10,Sant Martí,68,el Poblenou,33621,98.6
68,2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13455,152.6
69,2016,10,Sant Martí,70,el Besòs i el Maresme,22609,54.7
36,2016,7,Horta-Guinardó,37,el Carmel,31377,54.5
70,2016,10,Sant Martí,71,Provençals del Poblenou,20516,98.7
55,2016,8,Nou Barris,56,Vallbona,1354,51.9
54,2016,8,Nou Barris,55,Ciutat Meridiana,10055,34.3
61,2016,9,Sant Andreu,62,el Congrés i els Indians,14051,71.7
39,2016,7,Horta-Guinardó,40,Montbau,5101,82.2
38,2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,6828,86.3
53,2016,8,Nou Barris,54,Torre Baró,2795,45.1
40,2016,7,Horta-Guinardó,41,la Vall d'Hebron,5687,87.5
41,2016,7,Horta-Guinardó,42,la Clota,590,91.4
42,2016,7,Horta-Guinardó,43,Horta,26597,80.6
44,2016,8,Nou Barris,45,Porta,24567,62.5
45,2016,8,Nou Barris,46,el Turó de la Peira,15373,51.7
43,2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25522,63.7
47,2016,8,Nou Barris,48,la Guineueta,15050,54.4
48,2016,8,Nou Barris,49,Canyelles,6925,54.4
49,2016,8,Nou Barris,50,les Roquetes,15428,57.0
50,2016,8,Nou Barris,51,Verdun,12261,53.8
51,2016,8,Nou Barris,52,la Prosperitat,26166,55.1
52,2016,8,Nou Barris,53,la Trinitat Nova,7259,40.6
46,2016,8,Nou Barris,47,Can Peguera,2216,51.5
51,2017,8,Nou Barris,52,la Prosperitat,26398,56.0
46,2017,8,Nou Barris,47,Can Peguera,2233,51.5
50,2017,8,Nou Barris,51,Verdun,12368,51.3
49,2017,8,Nou Barris,50,les Roquetes,15648,49.7
48,2017,8,Nou Barris,49,Canyelles,6863,52.2
47,2017,8,Nou Barris,48,la Guineueta,15247,53.8
45,2017,8,Nou Barris,46,el Turó de la Peira,15506,51.9
38,2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,6971,84.1
43,2017,8,Nou Barris,44,Vilapicina i la Torre Llobeta,25618,63.8
42,2017,7,Horta-Guinardó,43,Horta,26743,79.8
41,2017,7,Horta-Guinardó,42,la Clota,611,93.5
40,2017,7,Horta-Guinardó,41,la Vall d'Hebron,5792,95.8
39,2017,7,Horta-Guinardó,40,Montbau,5171,79.8
52,2017,8,Nou Barris,53,la Trinitat Nova,7271,48.2
44,2017,8,Nou Barris,45,Porta,25046,64.4
53,2017,8,Nou Barris,54,Torre Baró,2859,46.5
70,2017,10,Sant Martí,71,Provençals del Poblenou,20649,102.3
55,2017,8,Nou Barris,56,Vallbona,1379,40.9
37,2017,7,Horta-Guinardó,38,la Teixonera,11634,73.7
69,2017,10,Sant Martí,70,el Besòs i el Maresme,22893,60.4
68,2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13710,150.1
67,2017,10,Sant Martí,68,el Poblenou,33931,99.9
66,2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,9404,164.2
65,2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,15204,100.4
64,2017,10,Sant Martí,65,el Clot,27089,83.6
63,2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,38371,81.7
62,2017,9,Sant Andreu,63,Navas,22171,81.6
61,2017,9,Sant Andreu,62,el Congrés i els Indians,14141,75.1
60,2017,9,Sant Andreu,61,la Sagrera,29031,77.1
59,2017,9,Sant Andreu,60,Sant Andreu,57223,77.7
58,2017,9,Sant Andreu,59,el Bon Pastor,12582,65.1
57,2017,9,Sant Andreu,58,Baró de Viver,2539,68.9
56,2017,9,Sant Andreu,57,la Trinitat Vella,10006,47.1
54,2017,8,Nou Barris,55,Ciutat Meridiana,10369,38.6
36,2017,7,Horta-Guinardó,37,el Carmel,31583,54.2
0,2017,1,Ciutat Vella,1,el Raval,47986,71.2
34,2017,7,Horta-Guinardó,35,el Guinardó,36538,79.1
14,2017,3,Sants-Montjuïc,15,Hostafrancs,15949,99.0
13,2017,3,Sants-Montjuïc,14,la Font de la Guatlla,10422,82.9
12,2017,3,Sants-Montjuïc,13,la Marina de Port,30622,69.3
11,2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1151,40.0
10,2017,3,Sants-Montjuïc,11,el Poble Sec,40358,82.2
9,2017,2,Eixample,10,Sant Antoni,38412,104.2
8,2017,2,Eixample,9,la Nova Esquerra de l'Eixample,58315,110.2
7,2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,42512,137.2
6,2017,2,Eixample,7,la Dreta de l'Eixample,44246,175.9
5,2017,2,Eixample,6,la Sagrada Família,51651,101.8
4,2017,2,Eixample,5,el Fort Pienc,32048,106.5
3,2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",22923,99.4
2,2017,1,Ciutat Vella,3,la Barceloneta,15101,79.6
1,2017,1,Ciutat Vella,2,el Barri Gòtic,16240,106.1
71,2017,10,Sant Martí,72,Sant Martí de Provençals,26187,67.4
15,2017,3,Sants-Montjuïc,16,la Bordeta,18561,79.0
35,2017,7,Horta-Guinardó,36,la Font d'en Fargues,9390,92.5
16,2017,3,Sants-Montjuïc,17,Sants - Badal,24047,81.0
18,2017,4,Les Corts,19,les Corts,46104,120.0
33,2017,7,Horta-Guinardó,34,Can Baró,9020,83.3
32,2017,7,Horta-Guinardó,33,el Baix Guinardó,25734,92.0
31,2017,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,34431,105.7
30,2017,6,Gràcia,31,la Vila de Gràcia,50885,104.4
29,2017,6,Gràcia,30,la Salut,13207,109.9
28,2017,6,Gràcia,29,el Coll,7428,87.0
27,2017,6,Gràcia,28,Vallcarca i els Penitents,15615,112.5
26,2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,29617,144.6
25,2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,47753,192.1
24,2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,25909,184.6
23,2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,16660,215.8
22,2017,5,Sarrià-Sant Gervasi,23,Sarrià,25106,193.6
21,2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",4689,144.1
20,2017,4,Les Corts,21,Pedralbes,12117,248.8
19,2017,4,Les Corts,20,la Maternitat i Sant Ramon,23980,114.2
17,2017,3,Sants-Montjuïc,18,Sants,41244,99.0
72,2017,10,Sant Martí,73,la Verneda i la Pau,28725,57.0
